,ID_sub_SLS,kode_wilayah,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,kode_SLS,nama_SLS
0,32790100010001,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0001,RT 001 RW 001
1,32790100010002,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0002,RT 002 RW 001
2,32790100010003,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0003,RT 003 RW 001
3,32790100010004,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0004,RT 004 RW 001
4,32790100010005,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0005,RT 005 RW 002
5,32790100010006,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0006,RT 006 RW 002
6,32790100010007,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0007,RT 007 RW 002
7,32790100010008,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0008,RT 008 RW 002
8,32790100010009,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0009,RT 009 RW 003
9,32790100010010,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0010,RT 010 RW 003
10,32790100010011,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0011,RT 011 RW 003
11,32790100010012,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0012,RT 012 RW 004
12,32790100010013,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0013,RT 013 RW 004
13,32790100010014,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0014,RT 014 RW 004
14,32790100010015,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0015,RT 015 RW 005
15,32790100010016,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0016,RT 016 RW 005
16,32790100010017,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0017,RT 017 RW 005
17,32790100010018,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0018,RT 018 RW 006
18,32790100010019,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0019,RT 019 RW 006
19,32790100010020,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0020,RT 029 RW 006
20,32790100010021,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0021,RT 020 RW 007
21,32790100010022,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0022,RT 021 RW 007
22,32790100010023,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0023,RT 022 RW 007
23,32790100010024,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0024,RT 023 RW 008
24,32790100010025,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0025,RT 024 RW 008
25,32790100010026,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0026,RT 025 RW 008
26,32790100010027,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0027,RT 026 RW 009
27,32790100010028,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0028,RT 027 RW 009
28,32790100010029,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0029,RT 028 RW 009
29,32790100020001,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0001,RT 001 RW 001 DUSUN
30,32790100020002,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0002,RT 002 RW 001 DUSUN
31,32790100020003,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0003,RT 003 RW 002 DUSUN
32,32790100020004,3279010002,32,JAWA BARAT,79,BANJAR,010,BANJAR,002,NEGLASARI,0004,RT 004 RW 002 DUSUN
