ID_sub_SLS,kode_wilayah,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,kode_SLS,nama_SLS
3279010001000100    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0001,RT 001 RW 001
3279010001000200    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0002,RT 002 RW 001
3279010001000300    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0003,RT 003 RW 001
3279010001000400    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0004,RT 004 RW 001
3279010001000500    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0005,RT 005 RW 002
3279010001000600    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0006,RT 006 RW 002
3279010001000700    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0007,RT 007 RW 002
3279010001000800    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0008,RT 008 RW 002
3279010001000900    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0009,RT 009 RW 003
3279010001001000    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0010,RT 010 RW 003
3279010001001100    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0011,RT 011 RW 003
3279010001001200    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0012,RT 012 RW 004
3279010001001300    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0013,RT 013 RW 004
3279010001001400    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0014,RT 014 RW 004
3279010001001500    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0015,RT 015 RW 005
3279010001001600    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0016,RT 016 RW 005
3279010001001700    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0017,RT 017 RW 005
3279010001001800    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0018,RT 018 RW 006
3279010001001900    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0019,RT 019 RW 006
3279010001002000    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0020,RT 029 RW 006
3279010001002100    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0021,RT 020 RW 007
3279010001002200    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0022,RT 021 RW 007
3279010001002300    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0023,RT 022 RW 007
3279010001002400    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0024,RT 023 RW 008
3279010001002500    ,3279010001,32,JAWA BARAT,79,BANJAR,010,BANJAR,001,SITUBATU,0025,RT 024 RW 008
