kode_kotakab,nama_kotakab,jumlah_kec,jumlah_desa
1,Kabupaten Bogor,40,435
2,Kabupaten Sukabumi,47,386
3,Kabupaten Cianjur,32,360
4,Kabupaten Bandung,31,280
5,Kabupaten Garut,42,442
6,Kabupaten Tasikmalaya,39,351
7,Kabupaten Ciamis,27,265
8,Kabupaten Kuningan,32,376
9,Kabupaten Cirebon,40,424
10,Kabupaten Majalengka,26,343
11,Kabupaten Sumedang,26,277
12,Kabupaten Indramayu,31,317
13,Kabupaten Subang,30,253
14,Kabupaten Purwakarta,17,192
15,Kabupaten Karawang,30,309
16,Kabupaten Bekasi,23,187
17,Kabupaten Bandung Barat,16,165
18,Kabupaten Pangandaran,10,93
71,Kota Bogor,6,68
72,Kota Sukabumi,7,33
73,Kota Bandung,30,151
74,Kota Cirebon,5,22
75,Kota Bekasi,12,56
76,Kota Depok,11,63
77,Kota Cimahi,3,15
78,Kota Tasikmalaya,10,69
79,Kota Banjar,4,25
