idsls,iddesa,kdprov,nmprov,kdkab,nmkab,kdkec,nmkec,kddesa,nmdesa,kdsls,nama_sls,petugas_kode,petugas_nama,pengawas_kode,pengawas_nama
32180100010001,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0001,RT 001 RW 001 DUSUN CAMPAKA,nan,,nan,
32180100010002,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0002,RT 002 RW 001 DUSUN CAMPAKA,nan,,nan,
32180100010003,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0003,RT 003 RW 002 DUSUN CAMPAKA,nan,,nan,
32180100010004,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0004,RT 004 RW 002 DUSUN CAMPAKA,nan,,nan,
32180100010005,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0005,RT 005 RW 002 DUSUN CAMPAKA,nan,,nan,
32180100010006,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0006,RT 006 RW 003 DUSUN CIREUMA,nan,,nan,
32180100010007,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0007,RT 007 RW 003 DUSUN CIREUMA,nan,,nan,
32180100010008,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0008,RT 008 RW 003 DUSUN CIREUMA,nan,,nan,
32180100010009,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0009,RT 009 RW 003 DUSUN CIREUMA,nan,,nan,
32180100010010,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0010,RT 010 RW 004 DUSUN CIREUMA,nan,,nan,
32180100010011,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0011,RT 011 RW 004 DUSUN CIREUMA,nan,,nan,
32180100010012,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0012,RT 012 RW 004 DUSUN CIREUMA,nan,,nan,
32180100010013,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0013,RT 013 RW 004 DUSUN CIREUMA,nan,,nan,
32180100010014,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0014,RT 014 RW 004 DUSUN CIREUMA,nan,,nan,
32180100010015,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0015,RT 015 RW 004 DUSUN CIREUMA,nan,,nan,
32180100010016,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0016,RT 016 RW 005 DUSUN CIDAHON,nan,,nan,
32180100010017,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0017,RT 017 RW 005 DUSUN CIDAHON,nan,,nan,
32180100010018,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0018,RT 018 RW 005 DUSUN CIDAHON,nan,,nan,
32180100010019,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0019,RT 019 RW 006 DUSUN CIDAHON,nan,,nan,
32180100010020,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0020,RT 020 RW 006 DUSUN CIDAHON,nan,,nan,
32180100010021,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0021,RT 021 RW 006 DUSUN CIDAHON,nan,,nan,
32180100010022,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0022,RT 022 RW 006 DUSUN CIDAHON,nan,,nan,
32180100010023,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0023,RT 023 RW 006 DUSUN CIDAHON,nan,,nan,
32180100010024,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0024,RT 024 RW 007 DUSUN SUKAMANAH,nan,,nan,
32180100010025,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0025,RT 025 RW 007 DUSUN SUKAMANAH,nan,,nan,
32180100010026,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0026,RT 026 RW 008 DUSUN SUKAMANAH,nan,,nan,
32180100010027,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0027,RT 027 RW 008 DUSUN SUKAMANAH,nan,,nan,
32180100010028,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0028,RT 028 RW 008 DUSUN SUKAMANAH,nan,,nan,
32180100010029,3218010001,32,JAWA BARAT,18,PANGANDARAN,010,CIMERAK,001,KERTAMUKTI,0029,RT 029 RW 008 DUSUN SUKAMANAH,nan,,nan,
