idsls,iddesa,kdprov,nmprov,kdkab,nmkab,kdkec,nmkec,kddesa,nmdesa,kdsls,nama_sls,petugas_kode,petugas_nama,pengawas_kode,pengawas_nama
32710100010001,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0001,RT 01 RW 01,nan,,nan,
32710100010002,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0002,RT 02 RW 01,nan,,nan,
32710100010003,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0003,RT 03 RW 01,nan,,nan,
32710100010004,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0004,RT 04 RW 01,nan,,nan,
32710100010005,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0005,RT 05 RW 01,nan,,nan,
32710100010006,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0006,RT 06 RW 01,nan,,nan,
32710100010007,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0007,RT 01 RW 02,nan,,nan,
32710100010008,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0008,RT 02 RW 02,nan,,nan,
32710100010009,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0009,RT 03 RW 02,nan,,nan,
32710100010010,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0010,RT 04 RW 02,nan,,nan,
32710100010011,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0011,RT 05 RW 02,nan,,nan,
32710100010012,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0012,RT 06 RW 02,nan,,nan,
32710100010013,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0013,RT 01 RW 03,nan,,nan,
32710100010014,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0014,RT 02 RW 03,nan,,nan,
32710100010015,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0015,RT 03 RW 03,nan,,nan,
32710100010016,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0016,RT 04 RW 03,nan,,nan,
32710100010017,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0017,RT 05 RW 03,nan,,nan,
32710100010018,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0018,RT 06 RW 03,nan,,nan,
32710100010019,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0019,RT 01 RW 04,nan,,nan,
32710100010020,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0020,RT 02 RW 04,nan,,nan,
32710100010021,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0021,RT 03 RW 04,nan,,nan,
32710100010022,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0022,RT 04 RW 04,nan,,nan,
32710100010023,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0023,RT 01 RW 05,nan,,nan,
32710100010024,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0024,RT 02 RW 05,nan,,nan,
32710100010025,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0025,RT 03 RW 05,nan,,nan,
32710100010026,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0026,RT 04 RW 05,nan,,nan,
32710100010027,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0027,RT 05 RW 05,nan,,nan,
32710100010028,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0028,RT 06 RW 05,nan,,nan,
32710100010029,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0029,RT 07 RW 05,nan,,nan,
32710100010030,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0030,RT 01 RW 06,nan,,nan,
32710100010031,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0031,RT 02 RW 06,nan,,nan,
32710100010032,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0032,RT 03 RW 06,nan,,nan,
32710100010033,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0033,RT 04 RW 06,nan,,nan,
32710100010034,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0034,RT 01 RW 07,nan,,nan,
32710100010035,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0035,RT 02 RW 07,nan,,nan,
32710100010036,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0036,RT 03 RW 07,nan,,nan,
32710100010037,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0037,RT 01 RW 08,nan,,nan,
32710100010038,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0038,RT 02 RW 08,nan,,nan,
32710100010039,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0039,RT 03 RW 08,nan,,nan,
32710100010040,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0040,RT 04 RW 08,nan,,nan,
32710100010041,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0041,RT 01 RW 09,nan,,nan,
32710100010042,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0042,RT 02 RW 09,nan,,nan,
32710100010043,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0043,RT 03 RW 09,nan,,nan,
32710100010044,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0044,RT 04 RW 09,nan,,nan,
32710100010045,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0045,RT 01 RW 10,nan,,nan,
32710100010046,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0046,RT 02 RW 10,nan,,nan,
32710100010047,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0047,RT 03 RW 10,nan,,nan,
32710100010048,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0048,RT 04 RW 10,nan,,nan,
32710100010049,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0049,RT 01 RW 11,nan,,nan,
32710100010050,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0050,RT 02 RW 11,nan,,nan,
32710100010051,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0051,RT 03 RW 11,nan,,nan,
32710100010052,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0052,RT 04 RW 11,nan,,nan,
32710100010053,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0053,RT 01 RW 12,nan,,nan,
32710100010054,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0054,RT 02 RW 12,nan,,nan,
32710100010055,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0055,RT 03 RW 12,nan,,nan,
32710100010056,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0056,RT 04 RW 12,nan,,nan,
32710100010057,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0057,RT 05 RW 12,nan,,nan,
32710100010058,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0058,RT 06 RW 12,nan,,nan,
32710100010059,3271010001,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,001,MULYAHARJA,0059,RT 07 RW 12,nan,,nan,
32710100020001,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0001,RT 01 RW 01,nan,,nan,
32710100020002,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0002,RT 02 RW 01,nan,,nan,
32710100020003,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0003,RT 03 RW 01,nan,,nan,
32710100020004,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0004,RT 04 RW 01,nan,,nan,
32710100020005,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0005,RT 01 RW 02,nan,,nan,
32710100020006,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0006,RT 02 RW 02,nan,,nan,
32710100020007,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0007,RT 03 RW 02,nan,,nan,
32710100020008,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0008,RT 01 RW 03,nan,,nan,
32710100020009,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0009,RT 02 RW 03,nan,,nan,
32710100020010,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0010,RT 03 RW 03,nan,,nan,
32710100020011,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0011,RT 04 RW 03,nan,,nan,
32710100020012,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0012,RT 01 RW 04,nan,,nan,
32710100020013,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0013,RT 02 RW 04,nan,,nan,
32710100020014,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0014,RT 03 RW 04,nan,,nan,
32710100020015,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0015,RT 04 RW 04,nan,,nan,
32710100020016,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0016,RT 01 RW 05,nan,,nan,
32710100020017,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0017,RT 02 RW 05,nan,,nan,
32710100020018,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0018,RT 03 RW 05,nan,,nan,
32710100020019,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0019,RT 01 RW 06,nan,,nan,
32710100020020,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0020,RT 02 RW 06,nan,,nan,
32710100020021,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0021,RT 03 RW 06,nan,,nan,
32710100020022,3271010002,32,JAWA BARAT,71,BOGOR,010,BOGOR SELATAN,002,PAMOYANAN,0022,RT 01 RW 07,nan,,nan,
