idsls,iddesa,kdprov,nmprov,kdkab,nmkab,kdkec,nmkec,kddesa,nmdesa,kdsls,nama_sls,petugas_kode,petugas_nama,pengawas_kode,pengawas_nama
32770100010001,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0001,RT 001 RW 001,nan,,nan,
32770100010002,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0002,RT 002 RW 001,nan,,nan,
32770100010003,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0003,RT 001 RW 002,nan,,nan,
32770100010004,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0004,RT 002 RW 002,nan,,nan,
32770100010005,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0005,RT 003 RW 002,nan,,nan,
32770100010006,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0006,RT 004 RW 002,nan,,nan,
32770100010007,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0007,RT 005 RW 002,nan,,nan,
32770100010008,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0008,RT 001 RW 003,nan,,nan,
32770100010009,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0009,RT 002 RW 003,nan,,nan,
32770100010010,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0010,RT 003 RW 003,nan,,nan,
32770100010011,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0011,RT 004 RW 003,nan,,nan,
32770100010012,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0012,RT 005 RW 003,nan,,nan,
32770100010013,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0013,RT 001 RW 004,nan,,nan,
32770100010014,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0014,RT 002 RW 004,nan,,nan,
32770100010015,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0015,RT 003 RW 004,nan,,nan,
32770100010016,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0016,RT 004 RW 004,nan,,nan,
32770100010017,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0017,RT 005 RW 004,nan,,nan,
32770100010018,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0018,RT 001 RW 005,nan,,nan,
32770100010019,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0019,RT 002 RW 005,nan,,nan,
32770100010020,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0020,RT 003 RW 005,nan,,nan,
32770100010021,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0021,RT 004 RW 005,nan,,nan,
32770100010022,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0022,RT 005 RW 005,nan,,nan,
32770100010023,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0023,RT 006 RW 005,nan,,nan,
32770100010024,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0024,RT 001 RW 006,nan,,nan,
32770100010025,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0025,RT 002 RW 006,nan,,nan,
32770100010026,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0026,RT 003 RW 006,nan,,nan,
32770100010027,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0027,RT 004 RW 006,nan,,nan,
32770100010028,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0028,RT 005 RW 006,nan,,nan,
32770100010029,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0029,RT 006 RW 006,nan,,nan,
32770100010030,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0030,RT 007 RW 006,nan,,nan,
32770100010031,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0031,RT 008 RW 006,nan,,nan,
32770100010032,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0032,RT 001 RW 007,nan,,nan,
32770100010033,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0033,RT 002 RW 007,nan,,nan,
32770100010034,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0034,RT 003 RW 007,nan,,nan,
32770100010035,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0035,RT 004 RW 007,nan,,nan,
32770100010036,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0036,RT 005 RW 007,nan,,nan,
32770100010037,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0037,RT 006 RW 007,nan,,nan,
32770100010038,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0038,RT 007 RW 007,nan,,nan,
32770100010039,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0039,RT 001 RW 008,nan,,nan,
32770100010040,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0040,RT 002 RW 008,nan,,nan,
32770100010041,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0041,RT 003 RW 008,nan,,nan,
32770100010042,3277010001,32,JAWA BARAT,77,CIMAHI,010,CIMAHI SELATAN,001,MELONG,0042,RT 004 RW 008,nan,,nan,
